KOM KIN KOM_FIT KIN_FIT CHISQ
0 62.1865 -36.0648259304523 62.0148594536136 6877.91
0 117.814 52.1286023655276 117.956149488018 6876.50
2 62.1865 -36.064439273622 62.0147263082286 6877.90
2 117.814 52.128317540786 117.956281937607 6876.50
4 62.1865 -36.0644342643649 62.0147010962124 6877.93
4 117.814 52.1301592897608 117.955381593636 6876.53
6 62.1865 -36.0633885443112 62.014479748759 6877.91
6 117.814 52.1286000789411 117.955913935306 6876.48
8 62.1865 -36.0654172753125 62.0150320904551 6877.93
8 117.814 52.1278317117687 117.956350695767 6876.49
10 62.1865 -36.0643285543842 62.0146302240036 6877.94
10 117.814 52.1315817466172 117.955010394077 6876.51
12 62.1865 -36.0641194056631 62.0147081433563 6877.90
12 117.814 52.130340946323 117.955245410085 6876.51
14 62.1865 -36.0640503991457 62.0146269945322 6877.91
14 117.814 52.1284681366396 117.956056248153 6876.49
16 62.1865 -36.0637647917638 62.0146054149912 6877.90
16 117.814 52.1304582596847 117.955195527168 6876.53
18 62.1865 -36.0641728972248 62.0146355459917 6877.93
18 117.814 52.1285452843986 117.95614494555 6876.50
20 62.1865 -36.0626231708664 62.0140791759238 6877.90
20 117.814 52.1282014424107 117.956266541538 6876.49
22 62.1865 -36.0634738862447 62.0145417228921 6877.94
22 117.814 52.1295757103137 117.955731005066 6876.51
24 62.1865 -36.063320672908 62.0143536200539 6877.93
24 117.814 52.1289315547444 117.955916172625 6876.51
26 62.1865 -36.0622626917027 62.0139023675612 6877.92
26 117.814 52.1305771200463 117.955184578961 6876.52
28 62.1865 -36.0598251025009 62.0128749158881 6877.91
28 117.814 52.1269823667659 117.956708250251 6876.49
30 62.1865 -36.0606743538527 62.0132559483245 6877.92
30 117.814 52.1294182254401 117.955816583159 6876.49
32 62.1865 -36.0618821653006 62.0134553092162 6877.92
32 117.814 52.1287420296643 117.955990341544 6876.51
34 62.1865 -36.0608736788102 62.0132357578865 6877.91
34 117.814 52.1270905230127 117.956625901493 6876.51
36 62.1865 -36.0609818675659 62.0134398976704 6877.93
36 117.814 52.1287616224639 117.956011640545 6876.51
38 62.1865 -36.0628009835004 62.0143865813803 6877.93
38 117.814 52.1269218126353 117.9569126419 6876.52
40 62.1865 -36.0629996808744 62.0153424741504 6877.90
40 117.814 52.1292816379307 117.955899334877 6876.50
42 62.1865 -36.0611617236001 62.0175339614685 6877.92
42 117.814 52.1288216566995 117.956066690378 6876.49
44 62.1865 -36.0533531692429 62.0209489102452 6877.90
44 117.814 52.1277330478475 117.956400138748 6876.50
46 62.1865 -36.0282926207665 62.025679222079 6877.93
46 117.814 52.1271276271668 117.956845374998 6876.50
48 62.1865 -35.9616875406399 62.0329229754696 6877.94
48 117.814 52.1275551569361 117.956543676621 6876.51
50 62.1865 -35.8050107509593 62.0463469290422 6877.92
50 117.814 52.1269845825033 117.95667761141 6876.50
52 62.1865 -35.4368401611543 62.0689780742747 6877.92
52 117.814 52.1270753601202 117.956707759206 6876.49
54 62.1865 -34.5841175803452 62.1077615324241 6877.91
54 117.814 52.1269319890425 117.956776763361 6876.52
56 62.1865 -32.8322931238778 62.1844483722011 6877.89
